Date,Close,Open,High,Low,Vol.,Change %
"Apr 16, 2012",2239,"2,225.16","2,260.52","2,223.95",24.90M,0.43%
"Apr 17, 2012",2291,"2,237.03","2,293.45","2,237.03",20.97M,2.32%
"Apr 18, 2012",2258,"2,289.94","2,293.61","2,254.57",19.41M,-1.43%
"Apr 19, 2012",2238,"2,264.04","2,280.20","2,237.52",21.32M,-0.92%
"Apr 20, 2012",2246,"2,236.93","2,262.08","2,235.01",21.22M,0.39%
"Apr 23, 2012",2191,"2,228.82","2,230.93","2,184.14",22.74M,-2.44%
"Apr 24, 2012",2204,"2,189.03","2,208.11","2,179.22",19.37M,0.59%
"Apr 25, 2012",2243,"2,205.12","2,245.36","2,202.79",19.44M,1.77%
"Apr 26, 2012",2210,"2,234.26","2,240.20","2,198.36",17.04M,-1.48%
"Apr 27, 2012",2221,"2,180.60","2,226.29","2,169.74",20.14M,0.50%
"Apr 30, 2012",2208,"2,214.99","2,217.84","2,199.34",17.29M,-0.56%
"May 02, 2012",2210,"2,236.06","2,240.82","2,204.93",23.43M,0.09%
"May 03, 2012",2195,"2,206.79","2,212.73","2,187.03",19.44M,-0.70%
"May 04, 2012",2167,"2,195.96","2,200.92","2,160.18",22.53M,-1.29%
"May 07, 2012",2180,"2,139.15","2,182.77","2,133.07",16.36M,0.63%
"May 08, 2012",2171,"2,188.57","2,205.95","2,166.59",20.59M,-0.45%
"May 09, 2012",2160,"2,171.38","2,177.68","2,134.53",21.91M,-0.49%
"May 10, 2012",2187,"2,176.45","2,189.54","2,145.21",26.64M,1.26%
"May 11, 2012",2184,"2,178.57","2,186.16","2,155.31",17.47M,-0.13%
"May 14, 2012",2135,"2,169.83","2,172.40","2,124.33",17.49M,-2.28%
"May 15, 2012",2103,"2,145.92","2,151.28","2,094.53",21.66M,-1.47%
"May 16, 2012",2104,"2,092.08","2,123.02","2,076.19",26.87M,0.03%
"May 17, 2012",2081,"2,106.58","2,106.58","2,066.93",14.00M,-1.07%
"May 18, 2012",2074,"2,067.49","2,091.44","2,052.73",21.76M,-0.35%
"May 21, 2012",2094,"2,076.88","2,099.00","2,072.33",16.42M,0.96%
"May 22, 2012",2142,"2,101.61","2,148.91","2,100.87",19.84M,2.32%
"May 23, 2012",2089,"2,125.12","2,125.48","2,084.76",17.19M,-2.47%
"May 24, 2012",2114,"2,111.67","2,119.76","2,079.95",16.00M,1.15%
"May 25, 2012",2119,"2,115.67","2,134.42","2,101.07",15.11M,0.28%
"May 28, 2012",2118,"2,134.00","2,142.60","2,110.42",8.19M,-0.08%
"May 29, 2012",2130,"2,119.39","2,134.97","2,110.12",13.11M,0.59%
"May 30, 2012",2106,"2,119.12","2,131.39","2,091.81",8.66M,-1.14%
"May 31, 2012",2094,"2,109.42","2,115.27","2,080.42",12.52M,-0.58%
"Jun 01, 2012",2054,"2,093.41","2,094.96","2,033.88",28.65M,-1.89%
"Jun 04, 2012",2049,"2,039.40","2,060.24","2,034.29",12.89M,-0.23%
"Jun 05, 2012",2054,"2,054.57","2,061.70","2,039.29",11.85M,0.25%
"Jun 06, 2012",2104,"2,069.48","2,107.65","2,066.09",20.59M,2.43%
"Jun 07, 2012",2105,"2,112.37","2,121.74","2,098.22",19.98M,0.01%
"Jun 08, 2012",2100,"2,092.08","2,106.30","2,074.49",17.42M,-0.22%
"Jun 11, 2012",2098,"2,130.60","2,143.37","2,094.09",22.33M,-0.09%
"Jun 12, 2012",2105,"2,098.41","2,116.14","2,086.72",17.62M,0.32%
"Jun 13, 2012",2093,"2,110.53","2,124.04","2,084.52",20.31M,-0.53%
"Jun 14, 2012",2103,"2,090.41","2,103.41","2,068.48",18.67M,0.48%
"Jun 15, 2012",2119,"2,104.54","2,120.55","2,104.54",32.12M,0.74%
"Jun 18, 2012",2111,"2,140.75","2,144.93","2,103.00",17.29M,-0.39%
"Jun 19, 2012",2150,"2,109.87","2,154.91","2,097.52",16.35M,1.87%
"Jun 20, 2012",2152,"2,152.82","2,156.33","2,133.62",15.53M,0.11%
"Jun 21, 2012",2143,"2,143.73","2,161.85","2,132.32",22.59M,-0.43%
"Jun 22, 2012",2126,"2,128.09","2,138.72","2,113.71",15.38M,-0.78%
"Jun 25, 2012",2107,"2,123.28","2,129.04","2,098.96",18.84M,-0.89%
"Jun 26, 2012",2106,"2,101.19","2,119.74","2,096.75",17.31M,-0.06%
"Jun 27, 2012",2140,"2,122.34","2,140.70","2,115.68",19.15M,1.58%
"Jun 28, 2012",2146,"2,148.02","2,156.28","2,128.46",27.97M,0.30%
"Jun 29, 2012",2228,"2,184.90","2,228.42","2,172.62",33.77M,3.80%
"Jul 02, 2012",2254,"2,235.40","2,258.81","2,220.22",25.59M,1.19%
"Jul 03, 2012",2267,"2,251.59","2,268.29","2,251.59",22.39M,0.58%
