Date,Close,Open,High,Low,Vol.,Change %
"Jun 28, 2012",4432,"4,386.90","4,443.42","4,362.04",16.92M,1.02%
"Jun 29, 2012",4528,"4,431.76","4,540.94","4,431.76",34.14M,2.18%
"Jul 02, 2012",4662,"4,528.16","4,679.35","4,528.16",37.99M,2.95%
"Jul 03, 2012",4703,"4,661.55","4,716.49","4,661.55",19.85M,0.89%
"Jul 04, 2012",4552,"4,702.81","4,702.81","4,525.90",25.97M,-3.21%
"Jul 05, 2012",4534,"4,551.91","4,577.42","4,513.70",12.94M,-0.40%
"Jul 06, 2012",4507,"4,533.55","4,540.49","4,497.33",8.32M,-0.59%
"Jul 09, 2012",4555,"4,506.74","4,559.90","4,506.74",41.56M,1.07%
"Jul 10, 2012",4589,"4,554.76","4,595.93","4,539.42",19.39M,0.76%
"Jul 11, 2012",4584,"4,589.15","4,625.73","4,569.88",12.34M,-0.12%
"Jul 12, 2012",4607,"4,583.50","4,616.11","4,555.76",13.08M,0.51%
"Jul 13, 2012",4635,"4,606.74","4,645.37","4,606.74",17.23M,0.62%
"Jul 16, 2012",4699,"4,635.32","4,708.27","4,592.16",19.85M,1.38%
"Jul 17, 2012",4735,"4,699.17","4,745.69","4,645.61",5.34M,0.77%
"Jul 18, 2012",4759,"4,735.35","4,759.17","4,699.36",7.13M,0.50%
"Jul 19, 2012",4747,"4,759.17","4,783.01","4,723.33",14.03M,-0.25%
"Jul 20, 2012",4671,"4,747.24","4,747.24","4,665.47",3.76M,-1.60%
"Jul 23, 2012",4526,"4,671.23","4,671.23","4,521.11",17.89M,-3.11%
"Jul 24, 2012",4512,"4,526.02","4,550.76","4,506.93",6.04M,-0.30%
"Jul 25, 2012",4590,"4,512.43","4,602.04","4,512.43",33.22M,1.72%
"Jul 26, 2012",4634,"4,590.26","4,636.92","4,583.48",6.23M,0.96%
"Jul 27, 2012",4661,"4,634.36","4,660.72","4,627.67",19.22M,0.57%
"Jul 30, 2012",4653,"4,660.72","4,669.67","4,622.80",8.16M,-0.17%
"Jul 31, 2012",4693,"4,652.64","4,695.66","4,642.14",16.02M,0.87%
"Aug 01, 2012",4775,"4,693.35","4,775.38","4,689.27",25.20M,1.75%
"Aug 02, 2012",4729,"4,775.38","4,786.13","4,727.99",14.98M,-0.98%
"Aug 03, 2012",4742,"4,728.58","4,775.26","4,687.03",20.72M,0.27%
"Aug 06, 2012",4782,"4,741.53","4,790.55","4,741.53",7.68M,0.85%
"Aug 07, 2012",4729,"4,781.68","4,797.36","4,727.41",5.49M,-1.10%
"Aug 08, 2012",4689,"4,729.22","4,739.73","4,686.07",7.60M,-0.85%
"Aug 09, 2012",4682,"4,689.00","4,713.65","4,677.44",5.53M,-0.14%
"Aug 10, 2012",4671,"4,682.29","4,682.29","4,647.15",7.90M,-0.23%
"Aug 13, 2012",4732,"4,671.44","4,761.76","4,660.46",19.45M,1.29%
"Aug 14, 2012",4733,"4,731.72","4,771.00","4,707.57",10.01M,0.02%
"Aug 16, 2012",4791,"4,732.73","4,797.47","4,725.86",19.37M,1.24%
"Aug 17, 2012",4829,"4,791.41","4,833.80","4,769.53",21.49M,0.77%
"Aug 20, 2012",4846,"4,828.51","4,863.64","4,817.82",8.50M,0.36%
"Aug 21, 2012",4864,"4,845.85","4,866.68","4,823.26",24.13M,0.38%
"Aug 22, 2012",4859,"4,864.05","4,873.27","4,836.93",11.50M,-0.11%
"Aug 23, 2012",4857,"4,858.75","4,889.27","4,852.39",13.85M,-0.04%
"Aug 24, 2012",4828,"4,856.76","4,861.84","4,802.99",8.44M,-0.59%
"Aug 27, 2012",4820,"4,827.87","4,835.69","4,792.84",8.01M,-0.15%
"Aug 28, 2012",4814,"4,820.41","4,828.65","4,800.54",6.64M,-0.13%
"Aug 29, 2012",4818,"4,814.17","4,820.33","4,804.71",17.93M,0.08%
"Aug 30, 2012",4811,"4,818.11","4,828.48","4,808.59",8.69M,-0.14%
"Aug 31, 2012",4813,"4,811.36","4,828.02","4,796.29",10.56M,0.03%
"Sep 03, 2012",4819,"4,812.87","4,832.56","4,804.39",8.58M,0.12%
"Sep 04, 2012",4802,"4,818.85","4,819.53","4,793.81",8.50M,-0.36%
"Sep 05, 2012",4795,"4,801.68","4,812.61","4,792.52",8.84M,-0.13%
"Sep 06, 2012",4824,"4,795.28","4,823.65","4,795.28",11.68M,0.59%
"Sep 07, 2012",4923,"4,823.65","4,924.49","4,823.65",29.44M,2.06%
"Sep 10, 2012",4929,"4,922.78","4,933.49","4,901.25",18.22M,0.14%
"Sep 11, 2012",4906,"4,929.45","4,939.75","4,895.75",9.11M,-0.48%
"Sep 12, 2012",4947,"4,905.81","4,956.52","4,902.75",15.56M,0.84%
"Sep 13, 2012",4934,"4,946.91","4,947.84","4,922.81",13.17M,-0.26%
"Sep 14, 2012",4977,"4,933.90","5,001.49","4,933.90",44.12M,0.88%
"Sep 17, 2012",4975,"4,977.47","4,987.67","4,952.85",12.04M,-0.04%
"Sep 18, 2012",4987,"4,975.32","4,990.26","4,942.78",17.56M,0.24%
"Sep 19, 2012",4963,"4,987.37","4,999.58","4,953.79",11.47M,-0.49%
"Sep 20, 2012",4916,"4,962.80","4,962.80","4,914.97",7.54M,-0.93%
"Sep 21, 2012",4910,"4,916.49","4,957.24","4,904.54",9.64M,-0.12%
"Sep 24, 2012",4815,"4,910.39","4,922.06","4,806.52",6.09M,-1.95%
"Sep 25, 2012",4823,"4,814.76","4,835.63","4,807.63",10.83M,0.17%
"Sep 26, 2012",4750,"4,822.90","4,822.90","4,711.50",24.61M,-1.51%
"Sep 27, 2012",4744,"4,750.07","4,781.88","4,743.74",8.25M,-0.13%
"Sep 28, 2012",4725,"4,744.02","4,777.67","4,720.82",11.72M,-0.40%
"Oct 01, 2012",4750,"4,725.11","4,752.26","4,718.69",3.00M,0.54%
"Oct 02, 2012",4768,"4,750.41","4,793.60","4,750.41",23.74M,0.38%
"Oct 03, 2012",4723,"4,768.31","4,768.31","4,723.07",8.24M,-0.95%
"Oct 04, 2012",4782,"4,723.07","4,781.84","4,722.89",6.77M,1.24%
"Oct 05, 2012",4826,"4,781.84","4,828.97","4,770.17",7.64M,0.93%
"Oct 08, 2012",4797,"4,826.18","4,828.68","4,769.42",6.14M,-0.60%
"Oct 09, 2012",4800,"4,797.14","4,807.24","4,773.36",9.11M,0.06%
"Oct 10, 2012",4809,"4,799.94","4,811.36","4,778.98",2.42M,0.20%
"Oct 11, 2012",4782,"4,809.33","4,809.33","4,725.83",20.17M,-0.57%
"Oct 12, 2012",4819,"4,782.00","4,834.58","4,773.69",11.00M,0.76%
"Oct 15, 2012",4821,"4,818.50","4,838.51","4,808.07",8.54M,0.05%
"Oct 16, 2012",4891,"4,820.68","4,892.72","4,820.68",17.49M,1.46%
"Oct 17, 2012",4921,"4,890.93","4,937.09","4,890.93",27.00M,0.62%
"Oct 18, 2012",4948,"4,921.01","4,953.80","4,917.01",13.09M,0.54%
"Oct 19, 2012",4924,"4,947.59","4,963.97","4,914.11",14.58M,-0.47%
"Oct 22, 2012",4894,"4,924.40","4,924.40","4,878.37",10.28M,-0.61%
"Oct 23, 2012",4871,"4,894.42","4,898.90","4,864.51",10.04M,-0.48%
"Oct 24, 2012",4893,"4,870.91","4,898.72","4,863.32",7.84M,0.46%
"Oct 25, 2012",4892,"4,893.17","4,899.72","4,881.52",3.10M,-0.03%
"Oct 26, 2012",4891,"4,891.62","4,891.62","4,863.22",7.63M,-0.01%
"Oct 29, 2012",4880,"4,890.97","4,891.06","4,855.27",18.92M,-0.22%
"Oct 30, 2012",4883,"4,880.36","4,897.37","4,873.95",7.63M,0.06%
"Oct 31, 2012",4925,"4,883.12","4,931.44","4,883.12",18.83M,0.86%
"Nov 01, 2012",4936,"4,925.24","4,936.41","4,899.60",5.21M,0.23%
"Nov 02, 2012",4926,"4,936.41","4,941.64","4,914.24",17.72M,-0.22%
"Nov 05, 2012",4936,"4,925.69","4,936.06","4,913.50",8.64M,0.21%
"Nov 06, 2012",4945,"4,935.91","4,948.11","4,929.31",7.71M,0.17%
"Nov 07, 2012",4903,"4,944.50","4,944.50","4,899.82",7.20M,-0.83%
"Nov 08, 2012",4847,"4,903.46","4,903.46","4,843.68",14.11M,-1.15%
"Nov 09, 2012",4855,"4,847.07","4,866.44","4,835.13",6.94M,0.16%
"Nov 12, 2012",4825,"4,854.95","4,859.27","4,821.50",6.98M,-0.62%
"Nov 13, 2012",4794,"4,824.98","4,824.98","4,774.60",9.06M,-0.65%
"Nov 14, 2012",4792,"4,793.85","4,817.84","4,775.51",12.64M,-0.04%
"Nov 15, 2012",4751,"4,791.77","4,791.77","4,732.93",5.52M,-0.85%
"Nov 16, 2012",4759,"4,750.93","4,758.75","4,732.81",10.02M,0.16%
"Nov 19, 2012",4776,"4,758.75","4,789.74","4,758.75",5.19M,0.35%
"Nov 20, 2012",4796,"4,775.55","4,801.31","4,771.70",9.97M,0.43%
"Nov 21, 2012",4782,"4,795.97","4,802.07","4,778.18",5.04M,-0.30%
"Nov 22, 2012",4771,"4,781.56","4,789.50","4,766.16",4.12M,-0.23%
"Nov 23, 2012",4776,"4,770.54","4,776.53","4,751.92",1.71M,0.11%
"Nov 26, 2012",4759,"4,775.60","4,779.80","4,745.75",11.33M,-0.35%
"Nov 27, 2012",4775,"4,758.84","4,783.74","4,738.98",9.33M,0.35%
"Nov 28, 2012",4751,"4,775.31","4,779.50","4,743.02",9.54M,-0.51%
"Nov 29, 2012",4791,"4,750.82","4,816.32","4,732.04",31.84M,0.84%
"Dec 03, 2012",4807,"4,790.91","4,810.47","4,788.61",11.93M,0.34%
"Dec 04, 2012",4796,"4,807.38","4,813.43","4,790.33",15.44M,-0.23%
"Dec 05, 2012",4786,"4,796.47","4,810.62","4,777.59",9.15M,-0.21%
"Dec 06, 2012",4791,"4,786.19","4,826.17","4,775.67",15.15M,0.11%
"Dec 07, 2012",4757,"4,791.26","4,793.36","4,752.17",8.62M,-0.72%
"Dec 10, 2012",4750,"4,756.83","4,771.28","4,746.45",10.78M,-0.15%
"Dec 11, 2012",4774,"4,749.65","4,781.38","4,749.56",13.33M,0.50%
"Dec 12, 2012",4820,"4,773.58","4,834.97","4,773.58",17.15M,0.97%
"Dec 13, 2012",4823,"4,820.02","4,839.74","4,814.03",8.12M,0.05%
"Dec 14, 2012",4829,"4,822.57","4,835.52","4,809.39",13.81M,0.13%
"Dec 17, 2012",4840,"4,829.05","4,839.62","4,817.46",12.94M,0.22%
"Dec 18, 2012",4887,"4,839.62","4,898.93","4,839.55",27.67M,0.99%
"Dec 19, 2012",4915,"4,887.36","4,919.21","4,886.54",7.94M,0.57%
