Date,Close,Open,High,Low,Vol.,Change %
"Mar 14, 2012",6300,"6,286.47","6,323.30","6,281.14",60.42M,0.65%
"Mar 15, 2012",6332,"6,303.22","6,332.22","6,297.19",40.22M,0.50%
"Mar 16, 2012",6341,"6,340.81","6,357.45","6,326.62",140.62M,0.14%
"Mar 19, 2012",6327,"6,333.79","6,346.79","6,313.59",39.62M,-0.23%
"Mar 20, 2012",6296,"6,320.66","6,323.75","6,283.86",33.53M,-0.48%
"Mar 21, 2012",6290,"6,311.19","6,327.85","6,280.26",35.67M,-0.10%
"Mar 22, 2012",6250,"6,274.39","6,284.46","6,234.22",42.98M,-0.64%
"Mar 23, 2012",6240,"6,255.02","6,264.95","6,207.45",33.01M,-0.15%
"Mar 26, 2012",6283,"6,253.20","6,289.74","6,244.13",34.72M,0.69%
"Mar 27, 2012",6269,"6,298.92","6,312.86","6,253.67",44.99M,-0.22%
"Mar 28, 2012",6250,"6,253.57","6,278.76","6,242.52",34.68M,-0.30%
"Mar 29, 2012",6176,"6,236.02","6,247.24","6,165.19",43.00M,-1.19%
"Mar 30, 2012",6236,"6,202.71","6,235.51","6,173.53",42.04M,0.96%
"Apr 02, 2012",6299,"6,233.56","6,299.38","6,208.94",42.24M,1.02%
"Apr 03, 2012",6259,"6,286.68","6,298.56","6,258.27",35.57M,-0.65%
"Apr 04, 2012",6167,"6,246.91","6,259.26","6,154.71",50.31M,-1.47%
"Apr 05, 2012",6163,"6,183.63","6,196.12","6,126.05",39.33M,-0.05%
"Apr 10, 2012",6061,"6,109.74","6,125.99","6,061.43",56.98M,-1.66%
"Apr 11, 2012",6060,"6,052.09","6,077.31","6,039.23",49.96M,-0.03%
"Apr 12, 2012",6125,"6,071.08","6,130.19","6,054.20",48.09M,1.08%
"Apr 13, 2012",6072,"6,112.27","6,121.51","6,052.98",46.26M,-0.87%
"Apr 16, 2012",6125,"6,063.94","6,136.01","6,057.26",43.17M,0.87%
"Apr 17, 2012",6200,"6,110.25","6,200.50","6,109.53",47.17M,1.23%
"Apr 18, 2012",6173,"6,198.18","6,202.98","6,150.81",40.18M,-0.43%
"Apr 19, 2012",6204,"6,200.99","6,225.09","6,188.31",51.41M,0.49%
"Apr 20, 2012",6238,"6,206.96","6,237.79","6,190.79",73.36M,0.55%
"Apr 23, 2012",6115,"6,177.62","6,180.44","6,092.75",59.20M,-1.97%
"Apr 24, 2012",6125,"6,131.76","6,141.19","6,086.61",47.41M,0.16%
"Apr 25, 2012",6151,"6,123.22","6,150.85","6,118.23",70.93M,0.42%
"Apr 26, 2012",6122,"6,140.52","6,158.38","6,092.41",60.98M,-0.46%
"Apr 27, 2012",6116,"6,097.30","6,131.63","6,090.45",54.43M,-0.10%
"Apr 30, 2012",6096,"6,132.83","6,133.78","6,096.34",49.41M,-0.33%
"May 02, 2012",6109,"6,161.99","6,171.97","6,102.79",67.87M,0.20%
