Date,Close,Open,High,Low,Vol.,Change %
"Mar 27, 2012",13198,"13,242.09","13,264.98","13,194.33",129.28M,-0.33%
"Mar 28, 2012",13126,"13,195.39","13,212.64","13,069.26",141.54M,-0.54%
"Mar 29, 2012",13146,"13,125.99","13,151.57","13,032.67",136.25M,0.15%
"Mar 30, 2012",13212,"13,147.94","13,224.49","13,147.78",171.19M,0.50%
"Apr 02, 2012",13264,"13,211.36","13,297.11","13,153.69",108.79M,0.40%
"Apr 03, 2012",13200,"13,258.96","13,265.36","13,131.21",123.98M,-0.49%
"Apr 04, 2012",13075,"13,198.19","13,198.19","13,020.86",125.00M,-0.95%
"Apr 05, 2012",13060,"13,067.18","13,088.11","13,012.46",109.53M,-0.11%
"Apr 09, 2012",12930,"13,057.57","13,057.72","12,903.78",105.58M,-1.00%
"Apr 10, 2012",12716,"12,929.44","12,929.59","12,710.56",159.29M,-1.65%
"Apr 11, 2012",12805,"12,716.92","12,844.82","12,716.92",125.21M,0.70%
"Apr 12, 2012",12987,"12,806.45","12,986.96","12,806.30",119.78M,1.41%
"Apr 13, 2012",12850,"12,986.20","12,986.35","12,845.28",140.99M,-1.05%
"Apr 16, 2012",12921,"12,850.88","12,986.77","12,850.80",120.99M,0.56%
"Apr 17, 2012",13116,"12,921.79","13,131.36","12,921.79",115.32M,1.50%
"Apr 18, 2012",13033,"13,114.56","13,114.56","13,027.49",113.52M,-0.63%
"Apr 19, 2012",12964,"13,028.73","13,080.20","12,896.82",139.81M,-0.53%
"Apr 20, 2012",13029,"12,964.48","13,082.54","12,964.25",212.08M,0.50%
"Apr 23, 2012",12927,"13,028.20","13,028.20","12,845.58",139.37M,-0.78%
"Apr 24, 2012",13002,"12,927.77","13,050.30","12,926.49",134.11M,0.58%
"Apr 25, 2012",13091,"12,997.69","13,105.70","12,993.60",135.26M,0.69%
"Apr 26, 2012",13205,"13,090.11","13,227.82","13,075.96",107.57M,0.87%
"Apr 27, 2012",13228,"13,204.70","13,266.68","13,192.21",110.85M,0.18%
"Apr 30, 2012",13214,"13,228.31","13,228.76","13,176.01",127.87M,-0.11%
"May 01, 2012",13279,"13,214.16","13,338.66","13,174.65",123.40M,0.50%
"May 02, 2012",13269,"13,278.11","13,278.11","13,192.21",100.77M,-0.08%
